Conference,2018,2019,2020,2021,2022,2023
ALT 2022 - The 33rd International Conference on Algorithmic Learning Theory,,,,,XPOP (1) FAIRPLAY (1),
ALT 2023 - 34th International Conference on Algorithmic Learning Theory,,,,,,SIERRA (1) DATAMOVE (1)
ALT 2023 - The 34th International Conference on Algorithmic Learning Theory,,,,,,CELESTE (1)
AMC 2020 - 16th IEEE International Workshop on Advanced Motion Control,,,PIXEL (1),,,
AMINA 2022 -  11ème édition du Workshop Applications Médicales de l'Informatique : Nouvelles Approches,,,,,Mnemosyne (1),
AMP 2021: 2nd International Workshop on Agility with Microservices Programming,,,,LS2N - équipe STACK (1),,
AMS Spring Eastern Sectional Meeting 2023,,,,,,ERMINE (2)
AMSI Optimise,,INOCS (1),,,,
AMW 2018 - 12th Alberto Mendelzon International Workshop on Foundations of Data Management,LINKS (1),,,,,
ANCRiSST 2019 - 14th International Workshop on Advanced Smart Materials and Smart Structures Technology,,I4S (2),,,,
ANNPR 2022 - 10th IAPR TC3 Workshop on Artificial Neural Networks in Pattern Recognition,,,,,MAASAI (1),
ANNSIM 2023 - Annual Modeling and Simulation Conference,,,,,,KAIROS (1)
ANRW 2020 - Applied Networking Research Workshop,,,POLARIS (1),,,
"ANT 2018 - 9th International Conference on Ambient Systems, Networks and Technologies",EASE (1),,,,,
ANTS 2018 - International Conference on Swarm Intelligence,LARSEN (1),,,,,
ANTS 2018 - Thirteenth Algorithmic Number Theory Symposium,ARIC (1),,,,,
ANTS 2020 - IEEE International Conference on Advanced Networks and Telecommunications Systems,,,FUN (1),,,
ANTS 2022 - Fifteenth Algorithmic Number Theory Symposium,,,,,,LFANT (1) CANARI (1)
ANTS Workshop on Computational Helioseismology,,Magique 3D (1),,MAKUTU (1),,
ANTS Workshop on Computational Helioseismology 2021,,,,MAKUTU (2),,
ANTS-XIII - Thirteenth Algorithmic Number Theory Symposium,CARAMBA (1),SPECFUN (1),,,,
ANTS-XIV - 14th Algorithmic Number Theory Symposium,,,GRACE (1),,,
ANTS-XV 2022 - Fifteenth Algorithmic Number Theory Symposium,,,,,LFANT (1) OURAGAN (1),
"APDCM 2018 - 20th Workshop on Advances in Parallel and Distributed Computational Models workshop, in conjunction with IPDPS'18",ROMA (1),,,,,
APDCM 2018 : 20th Workshop on Advances in Parallel and Distributed Computational Models,ROMA (1),,,,,
APDCM 2020 -  Workshop on Advances in Parallel and Distributed Computational Models (colocated with IPDPS),,,ROMA (1),,,
APDCM 2021 - 23rd Workshop on Advances in Parallel and Distributed Computational Models,,,,ROMA (1),,
APEMC 2019 - Asia-Pacific International Symposium on Electromagnetic Compatibility,,CIDRE (1),,,,
APF 2019 - Annual Privacy Forum,,INDES (1) PRIVATICS (1),,,,
APF 2020 - Annual Privacy Forum,,,PRIVATICS (1),,,
APF 2021 - 9th Annual Privacy Forum,,,,PRIVATICS (1),,
APIA 2023 - 9ème Conférence Nationale sur les Applications Pratiques de l’Intelligence Artificielle,,,,,,TAU (1)
APLAS 2018 - 16th Asian Symposium on Programming Languages and System,PARSIFAL (1),,,,,
APLAS 2018 - 16th Asian Symposium on Programming Languages and Systems,ANTIQUE (1),,,,,
APLAS 2019 - 17th Asian Symposium on Programming Languages and Systems,,PARSIFAL (1) PARTOUT (1),,,,
APLAS 2020 - 18th Asian Symposium on Programming Languages and Systems,,,FOCUS (1),,,
APLAS 2021 - Asian Symposium on Programming Languages and Systems,,,,MOCQUA (1),,
APLAS 2023 - 21st Asian Symposium on Programming Languages and Systems,,,,,,PARTOUT (1)
APLAS 2023 - The 21st Asian Symposium on Programming Languages and Systems,,,,,,PARTOUT (1)
APMAR 2018 - 2nd Asia Pacific Workshop on Mixed and Augmented Reality,RAINBOW (1),,,,,
APMC 2019 - Asia-Pacific Microwave Conference,,FACTAS (1),,,,
APPEEC 2019 - 11th IEEE PES Asia-Pacific Power and Energy Engineering Conference,,POLARIS (1),,,,
APPROX 2019 - Workshop on Approximation Algorithms for Combinatorial Optimization Problems,,AROMATH (1),,,,
APS 2019 - American Physical Society March Meeting,,ELAN (2) MORPHEO (1),,,,
APS-DFD meeting,,CARDAMOM (1),,,,
APSA-ASCEPT Joint Conference 2022,,,,,COMPO (1),
APSEC 2018 - 25th Asia-Pacific Software Engineering Conference,KAIROS (1),,,,,
APSEC 2020 - 27th Asia-Pacific Software Engineering Conference,,,DiverSe (1) CONVECS (1),,,
APSEC 2020 - Asia-Pacific Software Engineering Conference,,,KAIROS (1),,,
APSEC 2022 - 29th Asia-Pacific Software Engineering Conference,,,,,CONVECS (1),
APSEM 2019 ((Apprentissage et SEMantique)) : éco-systèmes pour la science ouverte et recherche par les données,,MODAL (1),,,,
APUAVD 2017 - 4th IEEE International Conference Actual Problems of Unmanned Aerial Vehicles Developments,MADYNES (1) NEUROSYS (1),,,,,
APVP 2018 – Atelier sur la Protection de la Vie Privée,PETRUS (1),,,,,
APVP 2019 - Atelier sur la Protection de la Vie Privée,,PETRUS (2),,,,
APVP 2022 - 12ème Atelier sur la Protection de la Vie Privée,,,,,PETRUS (1),
APVP 2023 - 13ème Atelier sur la Protection de la Vie Privée,,,,,,PETRUS (1)
"AQTR 2022 - IEEE International Conference on Automation, Quality and Testing, Robotics",,,,,TARAN (1),
ARC 2023 - 19th International Symposium on Applied Reconfigurable Computing,,,,,,PACAP (1) TARAN (1)
ARCH20 - 7th International Workshop on Applied Verification of Continuous and Hybrid Systems,,,VERIDIS (1),,,
ARCS 2020 - 33rd International Conference on Architecture of Computing Systems,,,PACAP (1),,,
"ARES 2018 - 13th International Conference on Availability, Reliability and Security",CIDRE (2) TAMIS (1),,,,,
"ARES 2019 - 14th International Conference on Availability, Reliability and Security",,Parkas (1),,,,
"ARES 2020 - International Conference on Availability, Reliability and Security",,,MYRIADS (1),,,
"ARES 2020: 15th International Conference on Availability, Reliability and Security",,,CIDRE (1),,,
"ARES 2021 - 16th International Conference on Availability, Reliability and Security",,,,GRACE (1) CASCADE (1) RESIST (1),,
"ARES 2021 - 16th International Conference on Availability, Reliability and Security  - Workshop on Education, Training and Awareness in Cybersecurity (ETACS 2021)",,,,CTRL-A (1),,
"ARES 2021 - The 16th International Conference on Availability, Reliability and Security",,,,DiverSe (1),,
"ARES 2022 - 17th International Conference on Availability, Reliability and Security",,,,,FUN (1),
"ARES 2022: The 17th International Conference on Availability, Reliability and Security",,,,,RESIST (1),
"ARES 2023 - 18th International Conference on Availability, Reliability and Security",,,,,,CTRL-A (2) KAIROS (1)
"ARES 2023: The 18th International Conference on Availability, Reliability and Security",,,,,,GRACE (1) CASCADE (1)
ARGENTON 2022 - IEEE Biennial Congress of Argentina,,,,,CAGIRE (1),
ARITH 2018 - 25th IEEE International Symposium on Computer Arithmetic,SOCRATE (1),,,,,
ARITH 2018 - 25th IEEE Symposium on Computer Arithmetic,ARIC (2) CARAMBA (1) CAIRN (1),,,,,
ARITH 2019 - 26th IEEE Symposium on Computer Arithmetic,,ARIC (3) SOCRATE (2) CAIRN (1),,,,
ARITH 2019 - IEEE 26th Symposium on Computer Arithmetic,,TOCCATA (1),,,,
ARITH 2020 - 27th IEEE Symposium on Computer Arithmetic,,,TAMIS (1),,,
ARITH 2020 - IEEE 27th Symposium on Computer Arithmetic,,,TOCCATA (1),,,
ARITH 2021 - 28th IEEE International Symposium on Computer Arithmetic,,,,SOCRATE (1) TOCCATA (1),,
ARITH 2021 - 28th IEEE Symposium on Computer Arithmetic,,,,ARIC (1) SOCRATE (1) TARAN (1),,
ARITH 2021-  IEEE 28th Symposium on Computer Arithmetic,,,,OURAGAN (1),,
ARITH 2022 - 29th IEEE Symposium on Computer Arithmetic,,,,,CARAMBA (1),
ARITH-2020 - 27th IEEE International Symposium on Computer Arithmetic,,,OURAGAN (1),,,
ARITH-2020 - IEEE 27th Symposium on Computer Arithmetic,,,ARIC (2),,,
ARITH-26 2019 - 26th IEEE 26th Symposium on Computer Arithmetic,,TOCCATA (1),,,,
ARK,HEPHAISTOS (1),,,,,
ARK 2022 - 18th International Symposium on Advances in Robot Kinematics,,,,,AUCTUS (1),
ARK 2022 - 18th International Symposium on Advances in robots kinematics,,,,,HEPHAISTOS (1),
ARM 2019 - 18th Workshop on Adaptive and Reflexive Middleware,,MIMOVE (1),,,,
ARSO 2018 - IEEE International Workshop on Advanced Robotics and its Social Impacts,NEUROSYS (1),,,,,
ASA 2022 - Apprentissage Statistiques et Applications,,,,,MODAL (1) PREMEDICAL (1),
ASAIL 2023 - Automated Semantic Analysis of Information in Legal Text,,,,,,EPICURE (1)
"ASAP 2019 - 30th IEEE International Conference on  Application-specific Systems, Architectures and Processors",,CAIRN (1),,,,
ASCO,,,,,COMPO (1),
"ASE 2018 - 33rd ACM/IEEE International Conference on Automated Software Engineering,  Tool demonstration track",DiverSe (1),,,,,
ASE 2020 - 35th IEEE/ACM International Conference on Automated Software Engineering,,,PHOENIX-POST (1) Whisper (1),,,
ASE 2021 - IEEE/ACM International Conference on Automated Software Engineering -- Industry Showcase,,,,Parkas (1),,
ASE 2022 - 37th IEEE/ACM International Conference on Automated Software Engineering,,,,,DiverSe (2),
ASE18 - Proceedings of the 33rd IEEE/ACM International Conference on Automated Software Engineering,SPIRALS (1),,,,,
ASIA 2022 - 15th ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia,,,,,MAVERICK (1),
ASIA CCS '22 - ACM Asia Conference on Computer and Communications Security,,,,,SPIRALS (1),
ASIA-CCS,,,ARIC (1),,,
ASIACCS 2021 - 16th ACM Asia Conference on Computer and Communications Security,,,,SPIRALS (1),,
ASIACRYPT,ARIC (1),ARIC (1),,,,
ASIACRYPT '18 - 24th Annual International Conference on the Theory and Application of Cryptology and Information Security,CASCADE (1),,,,,
ASIACRYPT 2018,GRACE (1),,,,,
ASIACRYPT 2018 - 24th Annual International Conference on the Theory and Application of Cryptology and Information Security,SECRET (4) CASCADE (2) LFANT (1) ARIC (1) GRACE (1),,,,,
ASIACRYPT 2018 - 24th International Conference on the Theory and Application of Cryptology and Information Security,LFANT (1) ARIC (1) SECRET (1),,,,,
ASIACRYPT 2019 -  25th Annual International Conference on the Theory and Application of Cryptology and Information Security,,CASCADE (1),,,,
ASIACRYPT 2019 - 25th Annual International Conference on the Theory and Application of Cryptology and Information Security,,CARAMBA (1) SECRET (1),,,,
ASIACRYPT 2019 - 25th International Conference on the Theory and Application of Cryptology and Information Security,,ARIC (3) CASCADE (2) SECRET (2),,,,
ASIACRYPT 2020 -  26th Annual International Conference on the Theory and Application of Cryptology and Information Security,,,LFANT (1) GRACE (1),,,
ASIACRYPT 2020 - 26th International Conference  on the Theory and Application of Cryptology and Information Security,,,COSMIQ (1),,,
ASIACRYPT 2021 -  27th International Conference on the Theory and Application of Cryptology and Information Security,,,,CASCADE (1),,
ASIACRYPT 2021 - 27th  International Conference on the Theory and Application of Cryptology and Information Security,,,,CASCADE (1),,
ASIACRYPT 2021 - 27th Annual International Conference on the Theory and Application of Cryptology and Information Security,,,,COSMIQ (4) CARAMBA (3),,
ASIACRYPT 2021 - 27th International Conference on the Theory and Apllication of Cryptology and Information Security,,,,LinkMedia (1),,
ASIACRYPT 2021 - 27th International Conference on the Theory and Application of Cryptology and Information Security,,,,LFANT (1) GRACE (1) COSMIQ (1),,
ASIACRYPT 2022,,,,,GRACE (1) ARIC (1),
ASIACRYPT 2022  - 28th International Conference on the Theory and Application of Cryptology and Information Security,,,,,OURAGAN (1),
ASIACRYPT 2022 - 28th Annual International Conference on the Theory and Application of Cryptology and Information Security,,,,,GRACE (1) COSMIQ (1) ARIC (1) QINFO (1),
ASIACRYPT 2022 - 28th International Conference on the Theory and Application of Cryptology and Information Security,,,,,CAPSULE (1),
ASIACRYPT 2022 - International Conference on the Theory and Application of Cryptology and Information Security,,,,,LFANT (1),
ASIACRYPT 2023,,,,,,GRACE (1) COSMIQ (1)
ASIACRYPT 2023 - 29th International Conference on the Theory and Application of Cryptology and Information Security,,,,,,CAPSULE (3)
ASIACRYPT 2023 - International Conference on the Theory and Application of Cryptology and Information Security,,,,,,GRACE (1)
ASK 2018 - 8th Asian Workshop on Symmetric Key Cryptography,SECRET (1),,,,,
ASLO Aquatic Sciences Meeting,,,,MORPHEME (1),,
ASME - JSME - KSME Joint Fluids Engineering Conference 2019,,CAGIRE (1),,,,
"ASME 2022 - 41st International Conference on Ocean, Offshore and Arctic Engineering",,,,,I4S (1),
ASME TurboExpo 2022 - Turbomachinery Technical Conference & Exposition,,,,,I4S (1),
ASMS/SPSC 2022 - 11th Advanced Satellite Multimedia Systems Conference and the 17th Signal Processing for Space Communications Workshop,,,,,AGORA (1),
ASMTA 2021 - 26th International Conference on Analytical & Stochastic Modelling Techniques & Applications,,,,NEO (1),,
ASMTA 2023 - 27th International Conference on Analytical & Stochastic Modelling Techniques & Applications,,,,,,CIDRE (1) ERMINE (1)
ASMTA 2023 - International Conference on Analytical & Stochastic Modelling Techniques & Applications,,,,,,NEO (1)
ASMTA/EPEW: The 27th International Conference on Analytical & Stochastic Modelling Techniques & Applications / 19th European Performance Engineering Workshop,,,,,,DYOGENE (1) ARGO (1)
ASONAM 2019 - IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,OPIS (2),,,,
ASONAM 2020 - IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,,DANTE (1),,,
ASONAM 2022 - IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,,,,OPIS (1),
ASONAM 2023 - IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,,,,,OPIS (1)
ASP-DAC 2020 - 25th Asia and South Pacific Design Automation Conference,,,CASH (1),,,
ASP-DAC 2021 - 26th Asia and South Pacific Design Automation Conference,,,,TARAN (1),,
ASPAI 2022 - 4th International Conference on Advances in Signal Processing and Artificial Intelligence,,,,,MAASAI (2),
ASPAI 2022: 4th International Conference on Advances in Signal Processing and Artificial Intelligence,,,,,EASE (1),
ASPLOS 2019 - The 24th ACM International Conference on Architectural Support for Programming Languages and Operating Systems,,Whisper (1),,,,
ASPLOS2018 -  23rd ACM International Conference on Architectural Support for Programming Languages and Operating Systems,GALLIUM (1),,,,,
ASRU 2019 - IEEE Automatic Speech Recognition and Understanding Workshop,,MULTISPEECH (1),,,,
ASRU 2021 - IEEE Automatic Speech Recognition and Understanding Workshop,,,,MULTISPEECH (3),,
ASSS '21: Proceedings of the 2021 International Symposium on Advanced Security on Software and Systems,,,,CIDRE (1) PACAP (1),,
ASVspoof 2021 Workshop - Automatic Speaker Verification and Spoofing Coutermeasures Challenge,,,,MULTISPEECH (1),,
ASYNC 2019 - 25th IEEE International Symposium on Asynchronous Circuits and Systems,,MEXICO (1),,,,
ASYNC 2020 - 26th IEEE International Symposium on Asynchronous Circuits and Systems,,,MEXICO (1),,,
ASYNC'18 - 24th IEEE International Symposium on Asynchronous Circuits and Systems,CONVECS (1),,,,,
AT-RASC 2018 - 2nd URSI Atlantic Radio conference,SOCRATE (1),,,,,
ATA@ICCBR 2022 - Workshop Analogies: from Theory to Applications,,,,,HeKA (1),
ATAED 2019 - Workshop Algorithms & Theories for the Analysis of Event Data,,SUMO (1),,,,
ATC ‘18 - USENIX Annual Technical Conference,KerData (1),,,,,
ATC'20 - USENIX Annual Technical Conference,,,NEO (1),,,
ATT 2022 - 12th International Workshop on Agents in Traffic and Transportation co-located with IJCAI-ECAI 2022 - 31st International Joint Conference on Artificial Intelligence and 25th European Conference on Artificial Intelligence,,,,,INOCS (1),
ATVA 2018 - 16th International Symposium Automated Technology for Verification and Analysis,TAMIS (1),,,,,
ATVA 2022 - 20th International Symposium on Automated Technology for Verification and Analysis,,,,,SUMO (1),
"AUTOMATA 2018  - Cellular Automata and Discrete Complex Systems, 24th IFIP WG 1.5 International Workshop",TROPICAL (1),,,,,
AUTOMATA 2018 - 24th IFIP WG 1.5 International Workshop on Cellular Automata and Discrete Complex Systems,MEXICO (1),,,,,
AUTOMATA 2018 - 24th International Workshop on Cellular Automata and Discrete Complex Systems,MOCQUA (1),,,,,
AUTOMED 2021 -  Interdisciplinary Symposium Automation in Medical Engineering,,,,DEFROST (1),,
AUTOMED 2021 - Automation in Medical Engineering,,,,MIMESIS (1),,
AVI 2018 - International Conference on Advanced Visual Interfaces,ILDA (1),,,,,
AVI' 20 - International Conference on Advanced Visual Interfaces,,,AVIZ (2),,,
AVOCS 2018 - 18th International Workshop on Automated Verification of Critical Systems,VERIDIS (1) MADYNES (1) RESIST (1),,,,,
AVS 65th International Symposium & Exhibition,NANO-D-POST [2018-2020] (1),,,,,
AVSS 2019 - 16th IEEE International Conference on Advanced Video and Signal-Based Surveillance (AVSS),,STARS (1),,,,
AVSS 2019 - 16th IEEE International Conference on Advanced Video and Signal-based Surveillance,,STARS (1),,,,
AVSS 2021 - 17th IEEE International Conference on Advanced Video and Signal-based Surveillance,,,,STARS (5),,
"Abstract State Machines, Alloy, B, TLA, VDM, and Z. ABZ 2018",VERIDIS (1),,,,,
Academic Symposium - Law + Computation: An Algorithm for the Rule of Law and Justice?,,,,PROSECCO (1),,
