Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);Unnamed: 34
SR0459GR;FLOWERS;Equipe;principal;Oudeyer;Pierre-yves;01-09-2022;;Principal;Centre Inria de l'université de Bordeaux;Centre Inria de l'université de Bordeaux;En cours de fermeture;01/07/2023;31/12/2024;Interactions, exploration et apprentissage en robotique développementale et sociale;Flowing Epigenetic Robots and Systems;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Robotique et environnements intelligents;Robotics and Smart environments;ENSTA PARIS;Ecole nationale supérieure des techniques avancées;;;;01/01/2011;31/12/2024;28/03/2013, 16/03/2017, 12/01/2022;200820949R;;7934-C, 9868-P, 12547-P, 15192-P, 15644-N, 15645-N, 15856-P, 16271-P, 16677-P, 17179-P;091035-1;intelligence artificielle développementale, apprentissage développemental, intelligence artificielle, apprentissage par renforcement profond, curiosité, motivations intrinsèques, apprentissage ouvert, exploration, cognition incarnée et située, apprentissage par renforcement multi-agent, langage, modèles de langage, évolution culturelle, jeux vidéos, robotique, interaction homme-machine, découverte automatisée, systèmes multi-agents, technologies de l?éducation;developmental artificial intelligence, developmental machine learning, artificial intelligence, deep reinforcement learning, curiosity, intrinsic motivation, open-ended learning, exploration, situated and embodied cognition, multi-agent reinforcement learning, language, large language models, cultural evolution, video games, robotics, human-machine interaction, automated discovery, multi-agent systems, educational technologies;
SR0339TR;FLUMINANCE;EP;principal;Memin;Etienne;01-07-2009;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;28/02/2022;;Analyse, Description et Contrôle  d'écoulements fluides à partir de séquences d'images;Fluid Flow Analysis, Description and Control from Image Sequences;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Sciences de la planète, de l'environnement et de l'énergie;Earth, Environmental and Energy Sciences;INRAE, U. RENNES 1;INRAE, Université Rennes 1;INSMI;IRMAR [U. RENNES 1, ENS CACHAN, CNRS, INSA RENNES, U. RENNES 2];Institut de recherche mathématique de Rennes (IRMAR);01/07/2009;28/02/2022;18/03/2010, 18/03/2014, 13/03/2018, 01/12/2022;200919001U;;6919-C, 10554-P, 13246-P, 15204-P;031080-1;Analyse de séquences d'images, analyse d'écoulements  fluides, assimilation de données, contrôle;Fluid flow analysis, Image sequence analysis, data assimilation, experimental fluid mechanics, control, motion measurement;
SR0400XR;FOCUS;EP;principal;Sangiorgi;Davide;01-01-2010;;Principal;Centre Inria d'Université Côte d'Azur;Université de Bologne (Italie);Terminée;30/09/2023;;Foundations of Component-based Ubiquitous Systems;Foundations of Component-based Ubiquitous Systems;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Programmation distribuée et génie logiciel;Distributed programming and Software engineering;U. DE BOLOGNE - UNIBO (ITALIE);Université de Bologne (Italie);;DICI [];Dipartimento di Informatica - Scienza e Ingegneria (DISI), Universita' di Bologna;01/01/2010;30/09/2023;09/10/2012, 11/10/2016, 07/10/2021;201020947E;;7303-C, 9528-P, 12276-P, 14889-P, 15703-P, 16268-P;041118-0;informatique ubiquitaire, interaction, models de calcul, vérification, logique mathématique, théorie des types.;ubiquitous computing, interaction, computing models, verification, mathematical logic,  type theory;
SR0585PR;FUN;EP;principal;Mitton;Nathalie;01-07-2013;;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;Décision signée;01/07/2013;31/12/2025;self-organizing Future Ubiquitous Network;self-organizing Future Ubiquitous Network;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;;;;;;01/07/2013;31/12/2025;23/03/2016, 17/03/2020;201221009N;;9463-C, 11955-P, 14583-P, 15179-P;101042-1;réseaux de capteurs sans fil, rfid, robots, auto-organisation, déploiement, routage;wireless sensor networks, rfid, robots, self-organization, deployment, routing;
SR0831GR;GALEN;;principal;Pesquet;Jean-christophe;01-01-2018;31-12-2018;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Terminée;30/04/2019;;Images, modèles et algorithmes pour la médecine et les neurosciences;Organ Modeling through Extraction, Representation and Understanding of Medical Image Content;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;;;;;;01/01/2018;30/04/2019;;201822768Z;;12576-C, 13253-P, 13638-F;111045-2;;;
SR0841VR;GALLINETTE;EP;principal;Tabareau;Nicolas;01-06-2018;;Principal;Centre Inria de l'Université de Rennes;Université de Nantes - LS2N;Décision signée;01/06/2018;31/12/2024;Gallinette : vers une nouvelle génération d'assistant à la preuve;Gallinette: developing a new generation of proof assistants;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;IMT ATLANTIQUE, NANTES U.;Ecole Nationale Supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire, Nantes Université;INS2I;LS2N [U. NANTES, CNRS, INRIA, IMT ATLANTIQUE];Laboratoire des Sciences  du  numerique  de  Nantes;01/06/2018;31/12/2024;20/03/2019;201722488Z;;12889-C, 14025-P, 16659-P, 16998-P;031120-1;;;
SR0093AR;GALLIUM;EP;principal;Leroy;Xavier;01-05-2006;31-12-2015;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Terminée;31/07/2019;;Langages de programmation, types, compilation et preuves;Programming languages, types, compilation and proofs;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;;;;;;01/05/2006;31/07/2019;22/03/2011, 17/03/2015, 20/03/2019;200618331D;;4989-C, 8339-P, 11317-P, 13730-P, 13803-F;021071-1;langages de programmation, programmation fonctionnelle, Caml, systèmes de types, inférence de types, implémentation de langages, compilation, preuve de programmes;programming languages, functional programming, Caml, type systems, type inference, implementation of programming languages, compilation, program proof;
SR0791BR;GAMBLE;EP;principal;Devillers;Olivier;01-07-2017;;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Décision signée;01/07/2017;31/12/2024;Géométrie, Algorithmes et Modèles Bien au-delà du Linéaire et de l?Euclidien;Geometric Algorithms & Models Beyond the Linear & Euclidean realm;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Algorithmique, calcul formel et cryptologie;Algorithmics, Computer Algebra and Cryptology;U. DE LORRAINE;Université de Lorraine;INS2I;LORIA [CNRS, INRIA];Laboratoire lorrain de recherche en informatique et ses applications (LORIA);01/07/2017;31/12/2024;19/03/2019;201722240E;;12248-C, 14024-P, 16661-P, 17000-P;051034-2;géométrie algorithmique, calcul formel, probabilité, géométrie hyperbolique.;computational geometry, computer algebra, probability, hyperbolic geometry.;
SR0880VR;GAMMA;;principal;Alauzet;Frederic;01-06-2019;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Terminée;31/12/2022;;Ge?ne?ration Adaptative de Maillage et Me?thodes nume?riques Avance?es;Adaptive Mesh Generation and Advanced numerical Methods;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;;;;;;01/06/2019;31/12/2022;12/01/2022;201923242K;;13615-C, 15187-P, 15855-P, 16127-F;111092-0;Algorithme de génération de maillage, Maillage adaptatif, Maillage d'ordre élevé, Estimateur d'erreur, Modélisation géométrique et CAO, Solveur numérique pour les équation de Navier-Stokes, Calcul parallèle, Visualisation en calcul scientifique;Mesh generation algorithms, Adaptive meshing, High-order meshing, Error estimates, Geometric modeling and CAD, Flow solver for Navier-Stokes equations, Parallel computing, Visualization for scientific computing;
SR0399RR;GAMMA3;EP;principal;George;Paul;01-01-2010;31-12-2017;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Terminée;31/05/2019;;Génération automatique de maillages et méthodes avancées;Automatic mesh generation and advanced methods;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;U. DE TECHNOLOGIE DE TROYES;Université de Technologie de Troyes;;;;01/01/2010;31/05/2019;27/03/2013, 15/03/2017;201019617J;;7080-C, 9851-P, 11264-R, 12548-P, 13616-F;111071-0;Triangulation, maillages pour les simulations numériques, maillages anisotropes,  estimateurs d'erreurs et adaptations, calculs adaptatifs.;Triangulation, mesh generation for numerical simulation, anisotropic mesh generation, error estimation and adaptation, adaptive computational techniques.;
SR0939TR;GAMMAO;EP;principal;Alauzet;Frederic;01-03-2023;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/01/2023;31/12/2026;Génération Adaptative de Maillage et Méthodes numériques Avancées;Adaptive Mesh Generation and Advanced Numerical Methods;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;ONERA;Office national d'études et de recherches aérospatiales;;;;01/01/2023;31/12/2026;;202324396X;;16044-C;111108-0;;;
SR0070SR;GANG;EP;principal;Viennot;Laurent;01-01-2013;30-06-2020;Principal;Centre Inria de Paris;Université de Paris;Terminée;30/06/2020;;Réseaux, graphes et algorithmes;Networks, Graphs and Algorithms;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;U. PARIS 7 (UPD), CNRS;Université Denis Diderot (Paris 7), CNRS;INS2I;IRIF [CNRS, U. PARIS 7 (UPD)];Institut de Recherche en Informatique Fondamentale;01/07/2007;30/06/2020;21/03/2012, 23/03/2016, 17/03/2020;200718314F;;5677-C, 8081-P, 8629-N, 9107-P, 9133-CR, 11955-P, 13986-P, 14357-F;021019-1;réseau, graphe, algorithme;network, graph, algorithm;
SR0562MR;GENSCALE;EP;principal;Peterlongo;Pierre;01-06-2020;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/01/2013;31/12/2024;Scalable, Optimized and Parallel Algorithms for Genomics;Scalable, Optimized and Parallel Algorithms for Genomics;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Biologie numérique;Computational Biology;CNRS, U. RENNES;CNRS, Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2013;31/12/2024;11/10/2017, 15/05/2022;201221037U;;9130-C, 10687-P, 13243-P, 14282-CR, 14283-N, 15193-P, 16026-M, 16554-P;031107-1;bioinformatique genomique parallelisme scalabilité optimisation;bioinformatics genomic parallelism scalability optimization;
SR0930JR;GEOMERIX;EP;principal;Oudot;Steve;01-01-2023;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/09/2022;31/08/2026;La Géometrie au Service du Numérique;Geometry-driven Numerics;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;CNRS, IP-PARIS;CNRS, Institut Polytechnique de Paris;INS2I;LIX [EC. POLYTECHNIQUE, CNRS];Laboratoire d'informatique de l'école polytechnique (LIX);01/09/2022;31/08/2026;;202224337M;;15589-C, 16074-CR, 16075-N;111105-0;géometrie, topologie, apprentissage, analyse géométrique en basse et haute dimension, simulation, méthodes numériques mimétiques, algorithmes;geometry, topology, learning, low/high-dimensional geometric analysis, simulation, structure-preserving computations, algorithms;
SR0456DR;GEOSTAT;EP;principal;Brodu;Nicolas;16-10-2023;;Principal;Centre Inria de l'université de Bordeaux;Centre Inria de l'université de Bordeaux;Terminée;30/06/2024;;Géométrie et statistiques dans les données d'acquisition;Geometry and Statistics in acquisition data;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;;;;;;01/01/2011;30/06/2024;19/03/2014, 14/03/2018, 01/12/2022;200920943E;;7886-C, 10552-P, 13244-P, 15814-P, 16545-CR, 16546-N, 16759-P, 17181-F;091046-1;Traitement du signal, methodes non-lineaires, systemes complexes, turbulence, méthodes multiéchelles, complexité, invariance d'échelle, signaux complexes, analyse du signal parole, optique adaptative,;signal processing, non-linear methods, complex systems, turbulence, multiscale methods, scale invariance, complex signals, speech processing, adaptative optics, remote sensing, earth observ;
SR0591TR;GRACE;EP;principal;Couvreur;Alain;01-01-2021;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/07/2013;31/12/2024;Geometry, arithmetic, algorithms, codes and encryption;Geometry, arithmetic, algorithms, codes and encryption;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Algorithmique, calcul formel et cryptologie;Algorithmics, Computer Algebra and Cryptology;CNRS, IP-PARIS;CNRS, Institut Polytechnique de Paris;INS2I;LIX [EC. POLYTECHNIQUE, CNRS];Laboratoire d'informatique de l'école polytechnique (LIX);01/07/2013;31/12/2024;17/03/2015, 19/03/2019;201221041Y;;9566-C, 11315-P, 14024-P, 14652-CR, 14653-N, 16661-P, 17000-P;111032-2;théorie algorithmique des nombres, cryptologie, théorie des codes;algorithmic number theory, cryptology,  coding theory;
SR0705XR;GRAPHDECO;EP;principal;Drettakis;George;01-07-2015;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/07/2015;30/06/2027;GRAPHics and DEsign with hEterogeneous COntent;GRAPHics and DEsign with hEterogeneous COntent;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;;;;;;01/07/2015;30/06/2027;03/10/2018;201521163T;;11062-C, 13729-P, 16222-P, 16986-P;041147-1;Images de Synthèse, Design;Computer Graphics, Design;
SR0432CR;GRAPHIK;EP;principal;Mugnier;Marie-laure;01-01-2010;;Principal;Centre Inria d'Université Côte d'Azur;Antenne Inria Montpellier - Université Montpellier;Terminée;31/05/2022;;Représentation de connaissances et raisonnements à base de graphes;GRAPHs for Inferences and Knowledge representation;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Représentation et traitement des données et des connaissances;Data and Knowledge Representation and Processing;CNRS, U. MONTPELLIER, INRAE;CNRS, Université de Montpellier, INRAE;INS2I;LIRMM [U. MONTPELLIER 2, CNRS];Laboratoire d'informatique, de robotique et de microélectronique de Montpellier (LIRMM);01/01/2010;31/05/2022;11/10/2011, 07/10/2015, 03/10/2019;201019618K;;7082-C, 8929-P, 11684-P, 14331-P, 14668-P, 15260-P, 15762-F;041117-0;Représentation de connaissances et raisonnements, raisonnements sur les données, Formalismes logiques et graphiques, complexité et algorithmes, ingénierie des données et des connaissances, systèmes d'aide à la décision;Knowledge Representation and Reasoning, Reasoning on Data, Logical and Graph-Based Formalisms, Complexity and Algorithms, Knowledge and Data Engineering, Decision Support Systems;
SR0912NR;HEKA;EP;principal;Zohar;Sarah;01-11-2021;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/11/2021;31/10/2025;Méthodes basées sur les données et modèles en santé pour l'acquisition de connaissances;Health data- and model- driven approaches for Knowledge Acquisition;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;INSERM, U PARIS CITE;INSERM, Université Paris Cité;;CRC [];CENTRE DE RECHERCHE DES CORDELIERS;01/11/2021;31/10/2025;;202124127N;;15064-C;021158-0;Data-driven medicine, Model-based medicine, Learning health system, Precision medicine, Knowledge extraction, Representation learning, Predictive modelling, Next generation clinical trials, Small samples, Translational research, Electronic Health Record, Machine learning, Deep learning.;Data-driven medicine, Model-based medicine, Learning health system, Precision medicine, Knowledge extraction, Representation learning, Predictive modelling, Next generation clinical trials, Small samples, Translational research, Electronic Health Record, Machine learning, Deep learning.;
