Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);
"SR0775SR";"DATASPHERE";"";principal;"Grumbach";"Stephane";"01-01-2017";"";"Principal";"Centre Inria de Lyon";"Ecole normale supérieure de Lyon - Laboratoire Reproduction et développement des plantes ( RDP)";"Terminée";"01/07/2020";"";"Economie des données et des plateformes";"Economie des données et des plateformes";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Sécurité et confidentialité";"Security and Confidentiality";"";"";"";"";"";"01/01/2017";"01/07/2020";"";"201722257Y";"";"12019-C, 12878-P, 14360-F";"071115-1";"";"";
"SR0658CR";"DECENTRALISE";"Equipe";principal;"Grothoff";"Hans";"01-10-2014";"30-09-2017";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2015";"";"DECENTRALISE";"DECENTRALISE";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Sécurité et confidentialité";"Security and Confidentiality";"";"";"";"";"";"01/10/2014";"31/12/2015";"";"201421149G";"";"10425-C, 11322-F";"031114-0";"";"network security, privacy, peer-to-peer";
"SR0479ER";"DEDUCTEAM";"Equipe";principal;"Dowek";"Gilles";"01-12-2011";"31-12-2016";"Principal";"Centre Inria de Saclay";"ENS - Cachan";"Terminée";"31/12/2016";"";"Deduction modulo, interopérabilité et démonstration automatique";"Deduction modulo, interopérabilité et démonstration automatique";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Preuves et vérification";"Proofs and Verification";"";"";"";"";"";"01/12/2011";"31/12/2016";"";"201121007R";"";"8207-C, 9832-P, 10486-P, 11337-R, 11967-P";"111075-0";"";"";
"SR0774GR";"DEDUCTEAM";"EP";principal;"Blanqui";"Frederic";"01-06-2024";"";"Par intérim";"Centre Inria de Saclay";"ENS Paris-Saclay - Laboratoire Méthodes Formelles (LMF)";"Décision signée";"01/01/2017";"31/12/2024";"DEDUCTEAM";"DEDUCTEAM";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Preuves et vérification";"Proofs and Verification";"UNIV. PARIS-SACLAY";"Université Paris-Saclay";"INS2I";"LMF [LSV, LRI]";"Laboratoire de Méthodes Formelles";"01/01/2017";"31/12/2024";"20/03/2019";"201121007R";"";"12050-C, 14025-P, 16659-P, 16998-P, 17119-CR, 17120-N";"111075-1";"Système de traitement de démonstrations, interopérabilité, bibliothèques de résultats mathématiques";"Proof processing systems, interoperability, libraries of proofs";
"SR0227ER";"DEFI";"EP";principal;"Haddar";"Houssem";"01-01-2009";"";"Principal";"Centre Inria de Saclay";"Ecole Polytechnique - Centre de Mathématiques Appliquées (CMAP)";"Terminée";"31/07/2021";"";"Détermination de Formes Et Identification";"Shape reconstruction and identification";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Schémas et simulations numériques";"Numerical schemes and simulations";"";"";"INSMI";"";"";"01/01/2009";"31/07/2021";"17/03/2009, 27/03/2013, 15/03/2017, 12/01/2022";"200718999A";"";"6661-C, 6083-R, 9851-P, 12548-P, 14602-F, 14899-F";"111021-1";"";"";
"SR0675JR";"DEFROST";"Equipe";principal;"Duriez";"Christian";"01-01-2015";"31-12-2015";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/10/2017";"";"Deformable Robotic Software";"Deformable Robotic Software";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Robotique et environnements intelligents";"Robotics and Smart environments";"";"";"";"";"";"01/01/2015";"31/10/2017";"";"201521175F";"";"10606-C, 11346-P, 12003-P, 12533-F";"101049-S";"robots deformable, robots mous, robots souples, robots compliants, temps-réel, commande, modèles déformables, simulation, méthodes éléments finis";"deformable robots, soft robots, continuum robots, real-time, control, deformable models, simulation, finite element methods";
"SR0798HR";"DEFROST";"EP";principal;"Zheng";"Gang";"01-07-2024";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Décision signée";"01/11/2017";"31/12/2026";"Logiciels pour robots déformables";"DEFormable Robotics SofTware";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Robotique et environnements intelligents";"Robotics and Smart environments";"E. CENTRALE LILLE, CNRS, UNIVERSITE DE LILLE";"Ecole Centrale de Lille, CNRS, Université de Lille";"INS2I";"CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA]";"Centre de Recherche en Informatique, Signal et Automatique de Lille";"01/11/2017";"31/12/2026";"12/01/2022";"201521175F";"";"12449-C, 15192-P, 15856-P, 17195-CR, 17196-N";"101049-1";"";"deformable robots, soft robots, robot simulation, contact modeling, control methods, real-time,";
"SR0818MR";"DELYS";"Equipe";principal;"Sens";"Pierre";"01-01-2018";"31-12-2018";"Principal";"Centre Inria de Paris";"Laboratoire d'Informatique de Paris 6 (LIP6)";"Terminée";"01/02/2019";"";"Algorithmes pour systèmes distribués";"DistributEd aLgorithms and sYStems";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Systèmes distribués et intergiciels";"Distributed Systems and middleware";"";"";"";"";"";"01/01/2018";"01/02/2019";"";"201822643N";"";"12573-C, 13326-P, 13381-F";"";"Algorithmes et systèmes répartis, Réplication de données et cohérence, Tolérance aux fautes, Machines virtuelles et multi-coeurs,  Réseaux dynamiques, Large échelle";"Distibuted algorithms and systems, Data replication and consistency,  Fault Tolerance,  Large scale systems,  Virtual Machine and Multi-core,  Dynamic networks";
"SR0865UR";"DELYS";"EP";principal;"Sens";"Pierre";"01-01-2019";"31-12-2022";"Principal";"Centre Inria de Paris";"Sorbonne Université";"Terminée";"31/12/2022";"";"Algorithmes et systèmes distribués";"DistributEd aLgorithms and sYStems";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Systèmes distribués et intergiciels";"Distributed Systems and middleware";"SORBONNE UNIVERSITE";"Sorbonne Université";"INS2I";"LIP6 [UPMC, CNRS]";"Laboratoire d'informatique de Paris 6 (LIP6)";"01/01/2019";"31/12/2022";"07/10/2021";"201822643N";"";"13332-C, 14890-P, 15700-P";"021152-1";"Algorithmes et systèmes répartis, Réplication de données et cohérence, Tolérance aux fautes, Machines virtuelles et multi-coeurs,  Réseaux dynamiques, Large échelle";"Distibuted algorithms and systems, Data replication and consistency,  Fault Tolerance,  Large scale systems,  Virtual Machine and Multi-core,  Dynamic networks";
"SR0148MR";"DEMAR";"EP";principal;"Guiraud";"David";"01-10-2003";"31-12-2014";"Principal";"Centre Inria d'Université Côte d'Azur";"LIRMM - La Galéra";"Terminée";"31/12/2015";"";"Déambulation et mouvement artificiel";"Artificial movement and gait restoration";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Neurosciences et médecine numériques";"Computational Neuroscience and Medicine";"U. MONTPELLIER 2, CNRS, U. MONTPELLIER 1";"Université des sciences et techniques du Languedoc (Montpellier 2), CNRS, Université Montpellier 1";"";"LIRMM [U. MONTPELLIER 2, CNRS]";"Laboratoire d'informatique, de robotique et de microélectronique de Montpellier (LIRMM)";"01/10/2003";"31/12/2015";"07/10/2009, 16/10/2013";"200318382X";"";"3994-C, 5093-P, 7020-P, 7387-P, 10211-P, 11409-F";"041012-0";"modélisation, commande, simulation, biomécanique, mouvement, stimulation électrique fonctionnelle";"modelling, command, simulation, biomechanics, movement, functional electrical stimulation";
"SR0953TR";"DEVINE";"EP";principal;"Bertrand";"Nathalie";"01-01-2024";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Décision signée";"01/01/2024";"31/12/2027";"Vérification efficace pour des systèmes distribués fiables";"DEpendable distributed systems: formal VerificatIoN made Efficient";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Preuves et vérification";"Proofs and Verification";"CNRS";"CNRS";"INS2I";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"01/01/2024";"31/12/2027";"";"202424472A";"";"16635-C";"031142-0";"";"";
"SR0551DR";"DIANA";"Equipe";principal;"Dabbous";"Walid";"01-01-2013";"31-12-2013";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"30/06/2015";"";"Conception, Mise en oeuvre et Analyse d'Architectures Réseau";"Design, Implementation and Analysis of Networking Architectures";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Réseaux et télécommunications";"Networks and Telecommunications";"";"";"";"";"";"01/01/2013";"30/06/2015";"";"201321221P";"";"9081-C, 9097-N, 9763-P, 10568-P, 11058-F";"041031-1";"Protocoles réseaux, réseaux sans fil, Sécurité, Vie Privée, Mesures, Pair-à-Pair";"Network Protocols, Wireless Networks, Security, Privacy, Monitoring, Peer-to-Peer";
"SR0706LR";"DIANA";"EP";principal;"Dabbous";"Walid";"01-07-2015";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Décision signée";"01/07/2015";"31/12/2025";"Conception, Mise en oeuvre et Analyse d'Architectures Réseau";"Design, Implementation and Analysis of Networking Architectures";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Réseaux et télécommunications";"Networks and Telecommunications";"";"";"";"";"";"01/07/2015";"31/12/2025";"23/03/2016, 17/03/2020";"201321221P";"";"11060-C, 11955-P, 14583-P, 15179-P";"041031-2";"Protocoles Réseaux, Réseaux d'accès radio ouverts, Mesures, Reproductibilité, Cryptomonnaie";"Network Protocols, Open radio access networks, Measurements, Reproducibility, Cryptocurrency";
"SR0603FR";"DIANNAO";"Equipe";principal;"Temam";"Olivier";"01-12-2013";"31-12-2014";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Terminée";"31/12/2014";"";"Neuro-Inspired Accelerators for Computing";"Neuro-Inspired Accelerators for Computing";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Architecture, langages et compilation";"Architecture, Languages and Compilation";"";"";"";"";"";"01/12/2013";"31/12/2014";"";"201321217K";"";"9705-C, 9706-N";"111063-1";"";"";
"SR0580ER";"DICE";"Equipe";principal;"Grumbach";"Stephane";"01-02-2013";"31-01-2015";"Principal";"Centre Inria de Lyon";"Institut National des Sciences Appliquées Lyon - Laboratoire Center of Innovation in Telecommunications and Integration of service (CITI)";"Terminée";"31/12/2016";"";"Données sur l'Internet au coeur de l'Economie";"Data on the internet at the Core of the Economy";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Sécurité et confidentialité";"Security and Confidentiality";"INSA LYON";"Institut national des sciences appliquées de Lyon";"";"CITI [INSA LYON]";"Centre d'innovation en télécommunications et intégration de services";"01/02/2013";"31/12/2016";"";"201321097E";"";"9308-C, 9371-N, 10727-P, 11280-P";"071115-0";"";"";
"SR0129SR";"DIGIPLANTE";"EP";principal;"Cournede";"Paul-henry";"27-12-2010";"31-12-2011";"Par intérim";"Centre Inria de Saclay";"Ecole centrale PARIS , Mathématiques Appliquées aux Systémes -  Châtenay-Malabry";"Terminée";"31/12/2011";"";"Modélisation de la croissance et de l'architecture des plantes";"Modelling plants growth and plants architecture";"STIC pour les sciences de la vie et de l'environnement ";"Computational Sciences for Biology, Medicine and the Environment";"Observation, modélisation et commande pour le vivant";"Observation, Modeling, and Control for Life Sciences";"ECP, CIRAD";"Ecole Centrale Paris, CIRAD";"";"MAS [ECP]";"Laboratoire de Mathématiques Appliquées aux Systèmes (MAS)";"01/07/2008";"31/12/2011";"07/10/2009";"200818364F";"";"6254-C, 6089-R, 7388-P, 7837-CR, 7838-N, 8364-F";"111015-1";"production végétale, modélisation, simulation, optimisation, contrôle, agronomie, images de synthèse";"vegetable production, modelling, simulation, optimization, control, agronomy, computer graphics";
"SR0510RR";"DIGIPLANTE";"Equipe";principal;"Cournede";"Paul-henry";"01-01-2012";"31-12-2012";"Principal";"Centre Inria de Saclay";"Ecole centrale PARIS , Mathématiques Appliquées aux Systémes -  Châtenay-Malabry";"Terminée";"31/12/2012";"";"Modélisation de la croissance et de l'architecture des plantes";"Modélisation de la croissance et de l'architecture des plantes";"STIC pour les sciences de la vie et de l'environnement ";"Computational Sciences for Biology, Medicine and the Environment";"Observation, modélisation et commande pour le vivant";"Observation, Modeling, and Control for Life Sciences";"";"";"";"";"";"01/01/2012";"31/12/2012";"";"200818364F";"";"8445-C, 8446-N";"111015-1";"";"";
"SR0228NR";"DIONYSOS";"EP";principal;"Tuffin";"Bruno";"01-01-2022";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/05/2022";"";"Analyse de sûreté de fonctionnement, d'interopérabilité et de performances de réseaux";"Dependability Interoperability and perfOrmance aNalYsiS Of networkS";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Réseaux et télécommunications";"Networks and Telecommunications";"U. RENNES 1, IMT ATLANTIQUE";"Université Rennes 1, Ecole Nationale Supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire";"INS2I";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"01/01/2009";"31/05/2022";"21/03/2012, 23/03/2016, 17/03/2020";"200919000T";"";"6669-C, 9107-P, 11955-P, 14583-P, 15181-P, 15189-CR, 15190-N, 15761-F";"031076-1";"réseaux, modélisation, QoS, QoE";"networks, modeling, QoS, QoE";
"SR0412QR";"DISCO";"Equipe";principal;"Bonnet";"Catherine";"";"";"Principal";"Centre Inria de Saclay";"CentraleSupélec - Laboratoire des signaux et systèmes (L2S)";"Terminée";"06/05/2012";"";"Systèmes dynamiques interconnectés dans des environnements complexes";"Dynamical Interconnected Systems in COmplex Environments";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Modélisation, optimisation et contrôle de systèmes dynamiques";"Modeling, Optimization, and Control of Dynamic Systems";"";"";"";"";"";"01/01/2010";"06/05/2012";"";"201020959T";"";"7045-C";"";"Dynamiques, interconnexions, environnement, commande";"Dynamics,interconnections, environment, control";
